Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
BYDIY,BYD Electronic (International) Company Limited,198.8,5.8,0.0301,91,32,8.959B,17.45,
ONTO,Onto Innovation Inc.,180.02,-0.49,-0.27%,"228,455","415,828",8.836B,73.18,
COHR,Coherent Corp.,58.02,-0.55,-0.94%,1.299M,2.257M,8.785B,N/A,
BYDIF,BYD Electronic (International) Company Limited,3.815,0.015,0.0039,502,"4,161",8.596B,16.59,
OLED,Universal Display Corporation,169.04,-4.08,-2.36%,"381,397","281,183",8.007B,39.87,
MKSI,"MKS Instruments, Inc.",119.45,-1.38,-1.14%,"473,758","728,925",7.989B,N/A,
OMRNY,OMRON Corporation,38.67,-0.51,-1.30%,"63,759","27,430",7.615B,36.83,
AMKR,"Amkor Technology, Inc.",30.51,-0.21,-0.68%,"483,695","974,868",7.502B,20.9,
SOTGY,Sunny Optical Technology (Group) Company Limited,68.03,1.53,0.023,"2,729","3,431",7.463B,35.43,
FN,Fabrinet,202.39,2.66,0.0133,"267,000","411,655",7.348B,29.2,
SNPTF,Sunny Optical Technology (Group) Company Limited,6.52,0,0.00%,300,515,7.296B,34.32,
CGNX,Cognex Corporation,38.65,-0.05,-0.13%,1.342M,1.831M,6.634B,59.46,
VNT,Vontier Corporation,42.71,0.25,0.0059,"519,318","812,408",6.573B,17.65,
LFUS,"Littelfuse, Inc.",239.14,-0.05,-0.02%,"82,282","124,855",5.959B,23.11,
SUMCF,Sumco Corporation,16.13,0,0.00%,600,271,5.64B,10.97,
NOVT,Novanta Inc.,157.31,-0.94,-0.59%,"210,860","142,850",5.633B,74.91,
HPHTF,Hamamatsu Photonics K.K.,35.05,0,0.00%,618,113,5.618B,20.26,
SUOPY,Sumco Corporation,31.47,-0.84,-2.61%,"1,844","4,898",5.502B,10.7,
SLOIF,Soitec SA,151.5,0,0.00%,445,63,5.427B,24.2,
SEKEY,Seiko Epson Corporation,7.97,0.04,0.005,"11,829","18,728",5.338B,14.23,
ST,Sensata Technologies Holding plc,34.01,-0.42,-1.22%,2.315M,2.53M,5.148B,N/A,
CLS,Celestica Inc.,41.76,0,0.00%,1.191M,2.061M,4.971B,20.57,
NVMI,Nova Ltd.,165.28,-1.82,-1.09%,"248,817","129,491",4.796B,38.62,
ASMVY,ASMPT Limited,34.41,-0.03,-0.09%,"6,881","7,655",4.835B,9.95,
SEPJF,Spectris plc,45.39,0,0.00%,167,348,4.727B,27.68,
BMI,"Badger Meter, Inc.",157.49,0.51,0.0032,"83,800","180,113",4.623B,50.16,
AUOTY,AUO Corporation,5.51,-0.04,-0.72%,"30,032","37,430",4.225B,N/A,
HRIBF,"HORIBA, Ltd.",100.67,0,0.00%,15,1,4.255B,15.98,
ITRI,"Itron, Inc.",91.03,-0.43,-0.47%,1.294M,"349,230",4.141B,43.14,
AIXXF,AIXTRON SE,34.66,-1.92,-5.26%,"11,186",425,3.897B,27.08,
IPGP,IPG Photonics Corporation,86.38,1.19,0.014,"322,189","286,636",3.982B,18.66,
RNSHF,Renishaw plc,52.5,0,0.00%,210,48,3.961B,30.88,
HROEY,"Hirose Electric Co.,Ltd.",10.4,0,0.00%,"1,668",621,3.628B,20.8,
CAMT,Camtek Ltd.,80.51,0.13,0.0016,"444,281","448,716",3.615B,50.01,
ACLS,"Axcelis Technologies, Inc.",109.74,-0.95,-0.86%,"613,495","739,953",3.58B,14.77,
SHCAY,Sharp Corporation,1.31,-0.04,-2.96%,"10,500","11,036",3.481B,N/A,
SANM,Sanmina Corporation,62,0.45,0.0073,"314,060","564,423",3.458B,13.42,
LPL,"LG Display Co., Ltd.",4.11,-0.22,-5.08%,"343,008","462,340",3.144B,N/A,
VEMLY,Venture Corporation Limited,53,-1,-1.85%,"1,216","1,631",3.085B,12.38,
TYOYY,"Taiyo Yuden Co., Ltd.",89.28,2.13,0.0244,608,463,2.852B,N/A,
KLIC,"Kulicke and Soffa Industries, Inc.",48.85,-0.04,-0.08%,"282,756","494,175",2.752B,54.28,
ESE,ESCO Technologies Inc.,101.47,-1.03,-1.00%,"81,472","109,888",2.618B,28.19,
PLXS,Plexus Corp.,93.69,-0.82,-0.87%,"89,542","124,601",2.587B,20.82,
IONQ,"IonQ, Inc.",11.57,0.33,0.0294,7.316M,6.811M,2.368B,N/A,
AMBA,"Ambarella, Inc.",57.96,1.14,0.0201,"724,761","579,071",2.333B,N/A,
SONO,"Sonos, Inc.",18.79,0.01,0.0005,2.375M,2.275M,2.327B,N/A,
OSIS,"OSI Systems, Inc.",132.31,1.31,0.01,"77,454","99,170",2.255B,20.05,
VZIO,VIZIO Holding Corp.,11,0.15,0.0138,3.91M,1.754M,2.174B,100,
ROG,Rogers Corporation,110.92,-0.35,-0.31%,"167,867","137,415",2.065B,36.61,
KGBLY,Kingboard Laminates Holdings Limited,16.11,-5.79,-26.44%,325,6,2.011B,42.39,
